ground_truth,GABEL-1,GABEL-2,LOEFFEL-10,LOEFFEL-12,LOEFFEL-14,LOEFFEL-15,LOEFFEL-4,LOEFFEL-5,LOEFFEL-7,LOEFFEL-8,LOEFFEL-9,MESSER-1,MESSER-11
GABEL-1,3,0,0,0,0,0,0,0,0,0,0,0,0
GABEL-2,0,5,0,0,0,0,0,0,0,0,0,0,0
LOEFFEL-10,0,0,4,0,0,0,0,0,0,0,0,0,0
LOEFFEL-12,0,0,0,4,0,0,0,0,0,0,0,0,0
LOEFFEL-14,0,0,0,0,1,0,0,0,0,0,0,0,0
LOEFFEL-15,0,0,0,0,0,3,0,0,0,0,0,0,0
LOEFFEL-4,0,0,0,0,0,0,6,0,0,0,0,0,0
LOEFFEL-5,0,0,0,0,0,0,0,1,0,0,0,0,0
LOEFFEL-7,0,0,0,0,0,0,0,0,4,0,0,0,0
LOEFFEL-8,0,0,0,0,0,0,0,0,0,4,0,0,0
LOEFFEL-9,0,0,0,0,0,0,0,0,0,0,3,0,0
MESSER-1,0,0,0,0,0,0,0,0,0,0,0,4,0
MESSER-11,0,0,0,0,0,0,0,0,0,0,0,0,3
