x_px,y_px,artikel,soll_mm,gemessen_mm,fehler_mm
960.0,540.0,TELLER-DEKOR-200,200.0,201.5,1.5
960.0,540.0,TELLER-DEKOR-200,200.0,201.09,1.09
960.0,540.0,TELLER-200,200.0,201.84,1.84
960.0,540.0,TELLER-180-HOCH,180.0,167.07,-12.93
960.0,540.0,TELLER-180-HOCH,180.0,166.71,-13.29
960.0,540.0,TELLER-180,180.0,182.26,2.26
960.0,540.0,TELLER-180,180.0,181.86,1.86
960.0,540.0,TELLER-160,160.0,162.25,2.25
960.0,540.0,TELLER-160,160.0,161.87,1.87
960.0,540.0,SCHUESSEL-140,140.0,141.96,1.96
960.0,540.0,SCHUESSEL-140,140.0,141.62,1.62
